銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
1301,プ,極洋,6986,4505,35%割安,+
1332,プ,ニッスイ,1239,1223.5,1%割安,+
1333,プ,Umios,2046,1325.5,35%割安,+
135A,グ,VRAIN Solution,2258,3245,44%割高,-
1375,プ,ユキグニファクトリー,522,1050,101%割高,-
1376,ス,カネコ種苗,2365,1409,40%割安,+
1377,ス,サカタのタネ,4265,4125,3%割安,+
1379,プ,ホクト,1956,1828,7%割安,+
137A,グ,Cocolive,812,708,13%割安,+
1380,ス,秋川牧園,,1000,,-
1381,ス,アクシーズ,5318,3820,28%割安,+
1382,ス,ホープ,976,1624,66%割高,-
1383,ス,ベルグアース,,2901,,-
130A,グ,Veritas In Sili,,453,,-
1384,ス,ホクリヨウ,5598,2675,52%割安,+
138A,グ,光フードサービス,2577,3340,30%割高,-
1401,グ,エムビーエス,1388,1388,0%,-
1407,ス,ウエストHD,1808,2877,59%割高,-
1414,プ,ショーボンドHD,1211,1325,9%割高,-
1416,ス,インターライフHD,721,557,23%割安,+
1417,ス,ミライ・ワン,3683,4024,14%割高,-
1419,プ,タマホーム,1278,3555,178%割高,-
1420,ス,サンミーホームズ,1330,621,53%割安,+
1429,プ,日本アクア,908,688,24%割安,+
142A,グ,ジンジブ,170,692,331%割高,-
1430,ス,ファーストコーポレーション,1091,1111,2%割高,-
1431,グ,Lib Work,217,649,199%割高,-
1433,プ,ベステラ,724,1029,42%割高,-
1434,ス,JESCOHD,2259,2466,4%割高,-
1435,ス,robot home,408,202,51%割安,+
1436,グ,グリーンエナジー&カンパニー,448,1199,171%割高,-
143A,グ,イシン,795,721,6%割安,+
143B,ス,岐阜造園,2304,1870,18%割安,+
1443,ス,技研HD,674,286,58%割安,+
1444,グ,ニッソウ,1347,2761,105%割高,-
1446,ス,キャンディル,408,520,29%割高,-
1447,グ,SAAFHD,83,302,266%割高,-
1450,ス,TANAKEN,1865,1410,24%割安,+
145A,グ,Lis B,409,832,119%割高,-
146A,ス,コロンビア・ワークス,8838,3740,58%割安,+
147A,グ,ソラコム,248,957,301%割高,-
148A,グ,ハッチ・ワーク,777,1800,145%割高,-
1491,ス,中外鉱業,869,858,1%割安,+
149A,グ,シンカ,,800,,-
150A,グ,JSH,210,366,95%割高,-
1514,ス,住石HD,353,769,118%割高,-
1515,プ,日鉄鉱業,2516,2412,4%割安,+
1518,プ,三井松島HD,2012,1355,33%割安,+
151A,グ,ダイブ,1046,636,17%割安,+
153A,グ,カウリス,1121,1663,51%割高,-
154A,グ,情報戦略テクノロジー,627,801,35%割高,-
156A,ス,マテリアルG,1086,848,22%割安,+
157A,グ,グリーンモンスター,447,1143,172%割高,-
1605,プ,INPEX,4608,4150,6%割安,+
160A,ス,アズパートナーズ,3425,1990,44%割安,+
1662,ス,石油資源開発,2394,2275,7%割安,+
1663,ス,K&Oエナジー-G,6362,4775,18%割安,+
168A,グ,イタミアート,957,1190,24%割高,-
161A,グ,トライアルHD,1436,3920,199%割高,-
1711,ス,SDSHD,,247,,-
1716,ス,第一カッター興業,1977,1624,13%割安,+
1717,ス,明星ファシリティワークス,1408,972,24%割安,+
1718,ス,美樹工業,10098,7170,25%割安,+
1719,プ,安藤・間,2296,1904,17%割安,+
1720,プ,東急建設,1107,1472,24%割高,-
1721,プ,コムシスHD,5237,5647,9%割高,-
1723,ス,日本電技,2346,2410,3%割高,-
1724,ス,シンクレイヤ,1415,720,49%割安,+
1736,ス,オーテック,3155,2306,27%割安,+
173A,グ,ハンモック,1715,1414,16%割安,+
1758,ス,太洋基礎工業,4445,2461,45%割安,+
1762,ス,高松コンストラクションG,5144,3385,34%割安,+
1764,ス,工藤建設,4418,3255,26%割安,+
1766,プ,東建コーポレーション,18667,12670,32%割安,+
1768,ス,ソネック,1798,1352,25%割安,+
177A,グ,コージンバイオ,1188,1473,24%割高,-
1780,プ,ヤマウラ,2793,1441,48%割安,+
1783,ス,fantasista,38,61,60%割高,-
1786,プ,オリエンタル白石,510,372,27%割安,+
1787,ス,ナカボーテック,4041,5560,38%割高,-
1788,ス,三重工業社,6613,4780,28%割安,+
1793,ス,大本組,2125,1693,20%割安,+
1795,ス,マサル,5555,4710,15%割安,+
1798,ス,守谷商会,3147,1186,62%割安,+
1799,ス,第一建設工業,4884,3695,24%割安,+
1801,プ,大成建設,6776,16955,150%割高,-
1802,プ,大林組,2238,3659,63%割高,-
1803,プ,清水建設,1635,3038,86%割高,-
1807,ス,佐藤渡辺,3203,1926,40%割安,+
1808,ス,長谷工コーポレーション,3207,2709,16%割安,+
1810,ス,矢作建設,1725,1524,12%割安,+
1811,ス,銑高組,10716,9130,15%割安,+
1812,プ,鹿島,4701,6117,30%割高,-
1813,プ,不動テトラ,3563,2962,17%割安,+
1814,プ,大末建設,4223,3425,19%割安,+
1815,プ,鉄建設,2793,4870,74%割高,-
1820,プ,西松建設,5854,5760,2%割安,+
1822,ス,大豊建設,802,741,8%割安,+
1826,ス,佐田建設,1382,1059,23%割安,+
1827,ス,ナカノフドー建設,1492,1385,7%割安,+
1828,ス,田辺工業,4065,2588,36%割安,+
1833,プ,奥村組,5010,6150,23%割高,-
1835,プ,東鉄工業,6019,5520,8%割安,+
1840,ス,土屋HD,266,223,14%割安,+
1844,ス,大盛工業,347,544,60%割高,-
1847,ス,イチケン,3967,2782,38%割安,+
1848,ス,富士ピー・エス,688,571,17%割安,+
184A,グ,学びエイド,,344,,-
1850,ス,南海辰村建設,760,425,43%割安,+
1852,プ,浅沼組,868,924,6%割高,-
1853,ス,森組,410,317,23%割安,+
1860,プ,戸田建設,1275,1417,11%割高,-
2108,プ,日本甜菜製糖,6159,4025,35%割安,+
2109,プ,DM三井製糖,3547,3315,7%割安,+
2112,ス,塩水港精糖,674,500,26%割安,+
2114,ス,フジ日本,826,610,26%割安,+
2117,プ,ウェルネオシュガー,3056,2673,13%割安,+
211A,ス,カドス・コーポレーション,11170,3955,65%割安,+
2120,プ,LIFULL,208,191,8%割安,+
2121,プ,MIXI,3391,2594,24%割安,+
2122,ス,インタースペース,1369,1255,8%割安,+
2124,ス,ジェイエイシーリクルートメント,1148,862,25%割安,+
2127,プ,日本M&Aセンター-HD,678,654.5,4%割安,+
212A,プ,フィットイージー,3162,2412,23%割安,+
2130,プ,メンバーズ,932,1076,16%割高,-
2136,ス,ヒップ,1608,1429,11%割安,+
2138,ス,クルーズ,348,519,122%割高,-
2139,ス,中広,501,505,1%割高,-
2140,プ,UTG,176,184,6%割高,-
2148,プ,アイティメディア,1256,1589,28%割高,-
2152,ス,幼児活動研究会,1594,1516,5%割安,+
2153,プ,E・JHD,2788,1695,39%割安,+
2154,プ,オープンアップG,1821,1754,4%割安,+
2156,ス,セーラー広告,338,289,15%割安,+
2157,プ,コシダカHD,946,998,5%割高,-
2158,グ,FRONTEO,103,777,640%割高,-
215A,グ,タイミー,887,1263,43%割高,-
2162,ス,nmsHD,277,395,43%割高,-
2163,プ,アルトナー,1892,1009,1%割安,+
2164,ス,地域新聞社,33,324,877%割高,-
2168,プ,パソナG,2529,1630,36%割安,+
2169,ス,CDS,1827,1820,0.4%割安,+
2170,プ,リンクアンドモチベーション,582,556,4%割安,+
2173,グ,博展,1118,951,15%割安,+
2175,プ,エス・エム・エス,1324,1779,35%割高,-
2179,ス,成学社,1139,762,33%割安,+
2180,ス,サニーサイドアップG,1242,1007,16%割安,+
2181,プ,パーソルHD,248,233.7,6%割安,+
2183,ス,リニカル,,247,,-
2185,ス,シイエム・シイ,2367,1872,21%割安,+
1948,ス,弘電社,3677,6580,79%割高,-
194A,グ,WOLVES HAND,1275,1612,32%割高,-
1950,プ,日本電設工業,4913,4890,0.5%割安,+
1951,グ,エクシオG,2209,2874,30%割高,-
1952,プ,新日本空調,3665,3560,3%割安,+
1959,プ,クラフティア,9681,9674,0.1%割安,+
195A,グ,MUSCAT G,,689,,-
1960,ス,サンテック,1843,1560,15%割安,+
1961,ス,三機工業,1921,2409,26%割高,-
1963,プ,日揮HD,1726,2383,38%割高,-
1964,プ,中外炉工業,6949,4715,32%割安,+
1965,ス,テクノ菱和,8507,6860,19%割安,+
1966,ス,高田工業所,2874,1797,37%割安,+
1967,ス,ヤマト,2412,2123,12%割安,+
1968,プ,太平電業,3055,2857,6%割安,+
1969,プ,高砂熱学工業,3549,4506,27%割高,-
1972,ス,三晃金属工業,2005,1241,38%割安,+
1975,プ,明日工業社,3952,3710,6%割安,+
1976,プ,明星工業,1689,1831,8%割高,-
1979,プ,大気社,3585,3490,3%割安,+
197A,ス,タウンズ,455,487,12%割高,-
1980,プ,ダイダン,2521,2783,10%割高,-
1981,ス,協和日成,1795,1414,21%割安,+
1982,プ,日比谷総合設備,3162,3010,5%割安,+
198A,グ,PostPrime,27,179,583%割高,-
1992,ス,神田通信機,2795,2784,0.4%割安,+
1994,ス,高橋カーテンウォール工業,1090,555,49%割安,+
1997,ス,暁飯島工業,4070,3755,8%割安,+
2001,プ,ニッポン,3343,2652,21%割安,+
2002,プ,日清製粉G本社,2113,1994,6%割安,+
2003,ス,日東富士製粉,1554,1755,13%割高,-
2004,プ,昭和産業,4276,3065,28%割安,+
2009,ス,鳥越製粉,1306,1076,18%割安,+
2053,プ,中部飼料,2446,1687,31%割安,+
2055,ス,日和産業,770,382,50%割安,+
205A,グ,ロゴスHD,1271,2010,58%割高,-
2060,プ,フィード・ワン,1807,1114,38%割安,+
206A,グ,PRISM BioLab,69,175,173%割高,-
1861,プ,熊谷組,1647,1503,9%割安,+
1866,ス,北野建設,1902,1152,39%割安,+
1867,ス,植木組,4928,2510,49%割安,+
186A,グ,アストロスケールHD,,1286,,-
1870,プ,矢作建設工業,2652,2132,20%割安,+
1871,プ,ピーエス・コンストラクション,2562,2679,5%割高,-
1873,プ,日本ハウスHD,452,302,33%割安,+
1878,プ,大東建託,4842,3518,27%割安,+
1879,プ,新日本建設,4064,1928,53%割安,+
1882,プ,東亜道路工業,1496,1573,5%割高,-
1885,プ,東亜建設工業,2780,2784,0.1%割高,-
1887,プ,日本国土開発,837,584,30%割安,+
1888,プ,若築建設,5335,3605,32%割安,+
1893,プ,五洋建設,1162,1750,51%割高,-
1897,ス,金下建設,4024,3440,15%割安,+
1898,ス,世紀東急工業,1739,1453,16%割安,+
1899,プ,福田組,10915,8380,23%割安,+
189A,グ,D&Mカンパニー,671,931,39%割高,-
1904,ス,大成温調,4928,5210,6%割高,-
1905,ス,テノックス,1821,1468,19%割安,+
1909,ス,日本ドライケミカル,3093,2971,4%割安,+
1911,プ,住友林業,2515,1384.5,45%割安,+
1914,ス,日本基礎技術,1213,731,40%割安,+
1921,ス,巴コーポレーション,2462,2018,18%割安,+
1925,プ,大和ハウス工業,6721,6768,1%割高,-
1926,プ,ライト工業,4070,3840,6%割安,+
1928,プ,積水ハウス,4868,3410,30%割安,+
1929,プ,日特建設,1347,1176,13%割安,+
192A,グ,インテG,2804,1513,46%割安,+
1930,プ,北陸電気工事,1867,1682,10%割安,+
1934,プ,ユアテック,3310,2491,33%割安,+
1938,プ,日本リーテック,3263,2710,17%割安,+
1939,プ,四電工,1878,2029,8%割高,-
1942,プ,関電工,4652,4765,2%割高,-
1944,プ,きんでん,5616,8382,49%割高,-
1945,プ,東京エネシス,2031,1892,7%割安,+
1946,プ,トーエネック,2278,2444,7%割高,-
2395,プ,新日本科学,1461,1432,2%割安,+
2404,ス,鉄人化HD,83,575,594%割高,-
2408,ス,KG情報,993,760,23%割安,+
2410,プ,キャリアデザインセンター,3178,2421,24%割安,+
2411,ス,ガンダイ・エージェンシー,580,467,19%割安,+
2413,プ,エムスリー,1398,1504,8%割高,-
2418,ス,ヒューマンHD,2991,1576,47%割安,+
2418,ス,ツカダ・グローバルH,1474,620,58%割安,+
241A,グ,ROXX,282,493,92%割高,-
2424,ス,プラス,820,604,26%割安,+
2425,ス,ケアサービス,1627,748,54%割安,+
2428,ス,ウェルネット,921,648,28%割安,+
2429,プ,ワールドHD,5279,2558,51%割安,+
2432,プ,ディー・エヌ・エー,2588,2538,1%割安,+
2433,プ,博報堂DYHD,1133,1049.5,7%割安,+
2435,ス,シダー,199,217,9%割高,-
2436,ス,共同ピーアール,2371,976,57%割安,+
2437,ス,Shinwa WiseHD,198,418,137%割高,-
2438,グ,アスカネット,356,343,4%割安,+
2440,ス,ぐるなび,92,146,59%割高,-
2445,ス,タカミヤ,436,392,6%割安,+
2446,ス,ブラップジャパン,1995,1081,46%割安,+
244A,グ,グロースエクスパートナーズ,2393,1057,52%割安,+
2454,ス,オールアバウト,136,369,172%割高,-
2459,ス,アウンコンサルティング,34,202,490%割高,-
245A,グ,INGS,2040,2579,30%割高,-
2461,プ,ファンコミュニケーションズ,415,463,12%割高,-
2442,プ,ライク,1605,1582,1%割安,+
2444,ス,Acba-BBT,496,340,31%割安,+
2449,ス,ヒビノ,2731,3175,16%割高,-
246A,グ,アスア,480,989,118%割高,-
2471,プ,エスプール,262,238,2%割安,+
2475,プ,WDBHD,2662,1490,44%割安,+
2477,ス,手間いらず,3491,2459,30%割安,+
2479,ス,ジェイテック,203,237,17%割高,-
247A,グ,AIロボティクス,1548,1306,9%割安,+
2480,ス,システム・ロケーション,1558,1696,9%割高,-
2481,ス,タウンニュース社,1016,705,31%割安,+
2483,プ,翻訳センター,3036,1792,41%割安,+
2484,ス,出前館,,123,,-
2300,ス,きょうとう,396,503,27%割高,-
2301,プ,学情,2692,1594,41%割安,+
2303,ス,ドーン,2808,2891,3%割高,-
2304,ス,CSSHD,1329,931,30%割安,+
2305,ス,スタジオアリス,1901,1793,6%割安,+
2307,プ,クロスキャット,1539,950,38%割安,+
2311,ス,エプコ,809,832,3%割高,-
2315,ス,CAICA DIGITAL,17,71,314%割高,-
2317,プ,システナ,531,426,20%割安,+
2321,グ,ソフトフロントHD,,183,,-
2323,ス,fonfun,95,348,265%割高,-
2325,プ,NJS,4809,4715,2%割安,+
2326,プ,デジタルアーツ,7269,5600,20%割安,+
2327,プ,日鉄ソリューションズ,3407,3605,6%割高,-
2329,ス,東北新社,624,600,4%割安,+
2330,ス,フォーサイド,71,100,42%割高,-
2331,プ,ALSOK,1280,1187.5,7%割安,+
2332,ス,クエスト,2012,1786,11%割安,+
2334,グ,イオレ,,504,,-
2335,ス,キューブシステム,1227,1004,18%割安,+
2337,プ,いちご,538,500,7%割安,+
2340,ス,極楽湯HD,173,481,199%割高,-
2341,ス,アルバイトタイムス,172,191,11%割高,-
2342,ス,トランスジェニックG,94,257,177%割高,-
2349,ス,エヌアイデイ,3190,2450,23%割安,+
2351,ス,ASJ,228,413,82%割高,-
2353,プ,日本駐車場開発,312,247,19%割安,+
2354,ス,YE DIGITAL,1165,920,21%割安,+
2359,プ,コア,2627,2048,22%割安,+
2370,グ,メディネット,,28,,-
2371,プ,カカクコム,2795,2621,6%割安,+
2373,ス,ケア21,377,420,11%割高,-
2375,グ,ギグワークス,56,205,275%割高,-
2376,ス,サイネックス,1137,654,43%割安,+
2378,プ,ルネサンス,617,1014,66%割高,-
2379,プ,ディップ,1018,1821,79%割高,-
2384,ス,SBSHD,5121,4150,19%割安,+
2385,グ,総医研HD,222,253,14%割高,-
2391,ス,プラネット,1190,1237,4%割高,-
2393,ス,日本ケアサプライ,1964,2234,14%割高,-
2186,ス,ソーバル,995,903,9%割安,+
218A,グ,Liberaware,,1342,,-
2193,ス,クックパッド,,137,,-
2195,グ,アミタHD,275,567,106%割高,-
219B,プ,アイ・ケイ・ケイHD,445,817,83%割高,-
219A,グ,Heartseed,,1777,,-
2201,プ,森永製菓,2952,2676,9%割安,+
2204,ス,中村屋,4051,3160,22%割安,+
2206,プ,江崎グリコ,4403,5664,29%割高,-
2207,プ,meito,3042,3225,6%割高,-
2208,ス,ブルボン,3353,2878,14%割安,+
2209,プ,井村屋G,2806,2352,16%割安,+
220A,ス,Faber Company,1015,1002,1%割安,+
2211,プ,不二家,2433,2420,1%割安,+
2212,プ,山崎製パン,3589,3281,9%割安,+
2215,ス,第一屋製パン,978,598,39%割安,+
2216,ス,カンロ,1136,1096,4%割安,+
2217,プ,モロゾフ,949,1474,55%割高,-
2221,プ,亀田製菓,1484,1628,10%割高,-
2222,ス,岩塚製菓,4971,3195,36%割安,+
2222,ス,寿スピリッツ,1700,2012.5,18%割高,-
2224,ス,コモ,497,3600,624%割高,-
2226,ス,湖池屋,3050,4655,53%割高,-
2229,プ,カルビー,2715,2966,9%割高,-
2264,プ,森永乳業,4265,4746,13%割高,-
2266,プ,六甲バター,1618,1124,31%割安,+
2267,プ,ヤクルト本社,2549,2732.5,7%割高,-
2268,ス,B-R31アイスクリーム,3047,4070,34%割高,-
2269,プ,明治HD,3825,3709,3%割安,+
2270,プ,雪印メグミルク,4251,3160,26%割安,+
2281,プ,プリマハム,2821,2492,13%割安,+
2282,プ,日本ハム,6673,6492,3%割安,+
2286,ス,林兼産業,1659,870,48%割安,+
2288,プ,丸大食品,2880,2268,21%割安,+
228A,グ,オプロ,1778,1475,15%割安,+
2291,ス,福留ハム,,580,,-
2292,プ,エスフーズ,4378,2842,35%割安,+
2293,ス,滝沢ハム,,2701,,-
2294,プ,柿安本店,1936,2686,39%割高,-
2296,プ,伊藤ハム米久HD,5196,5220,0.5%割高,-
2767,プ,円谷フィールズHD,2614,1420,45%割安,+
2768,プ,双日,5400,5860,9%割高,-
2769,ス,ヴィレッジVコーポレーション,323,920,186%割高,-
276A,グ,ククレブ・アドバイザーズ,2760,3330,28%割高,-
2776,ス,新都HD,77,115,50%割高,-
2778,ス,バレモ-HD,137,120,12%割安,+
277A,プ,グローピング,1096,2331,113%割高,-
2780,ス,コメ兵HD,7093,5280,26%割安,+
2782,ス,セリア,3648,3385,7%割安,+
2784,プ,アルフレッサHD,2790,2365.5,15%割安,+
2788,ス,アップルインターナショナル,855,337,61%割安,+
2789,ス,カルラ,401,459,15%割高,-
278A,グ,Terra Drone,,279,,-
2790,ス,ナフコ,4990,2169,57%割安,+
2791,プ,大黒天物産,5281,4805,9%割安,+
2792,プ,ハニーズHD,1995,1459,27%割安,+
2795,ス,日本プリメックス,1385,897,35%割安,+
2796,ス,ファーマライズHD,454,524,20%割高,-
2798,ス,ワイステーブルコーポレーション,464,2985,543%割高,-
2801,プ,キッコーマン,1070,1426.5,33%割高,-
2802,プ,味の素,1991,5090,156%割高,-
2804,プ,ブルドックソース,1251,1806,44%割高,-
2805,ス,エスビー食品,4683,4610,2%割安,+
2806,ス,ユタカフーズ,2580,2116,18%割安,+
2809,プ,キユーピー,3324,4166,25%割高,-
280A,グ,TMH,503,1393,192%割高,-
2810,プ,ハウス食品G本社,3329,3005,10%割安,+
2811,プ,カゴメ,2725,2688,1%割安,+
2813,ス,和弘食品,5103,3920,23%割安,+
2814,ス,佐藤食品工業,4488,3075,31%割安,+
2815,プ,アリアケジャパン,5916,5430,8%割安,+
2816,ス,ダイショー,990,1405,42%割高,-
2818,ス,ピエトロ,819,1730,111%割高,-
2819,ス,エバラ食品工業,3253,2520,23%割安,+
281A,グ,インフォメティス,,693,,-
2820,ス,やまみ,3849,4130,7%割高,-
2831,ス,はごろもフーズ,4388,3435,22%割安,+
285A,プ,キオクシアHD,10682,37560,259%割高,-
286A,グ,ユカリア,699,879,31%割高,-
2871,プ,ニチレイ,1583,1886.5,19%割高,-
2668,ス,タビオ,1194,1245,4%割高,-
2669,ス,カネ美食品,4007,3745,7%割安,+
2670,ス,エービーシー・マート,3095,2668,14%割安,+
2674,ス,ハードオフコーポレーション,3518,2029,42%割安,+
2676,プ,高千穂交易,1379,2011,46%割高,-
267B,ス,アスクル,243,1172,385%割高,-
2681,プ,ゲオHD,2266,1859,17%割安,+
2683,ス,魚喜,332,1001,202%割高,-
2685,プ,アンドエスティHD,3753,2998,20%割安,+
2687,ス,シー・ヴイ・エス・ベイエリア,647,502,22%割安,+
2689,ス,オルバヘルスケアHD,2972,2080,30%割安,+
268A,プ,リガク・HD,654,698,317%割高,-
2693,ス,YKT,362,246,32%割安,+
2694,ス,焼肉坂井HD,17,70,300%割高,-
2695,プ,くら寿司,1141,1718,51%割高,-
2698,ス,キャンドゥ,660,3170,380%割高,-
269A,グ,Sapeet,364,2330,541%割高,-
2700,ス,木徳神糧,4139,1834,56%割安,+
2702,ス,日本マクドナルドHD,4056,8120,100%割高,-
2705,ス,大戸屋HD,963,6790,605%割高,-
2708,ス,久世,2118,1945,8%割安,+
2722,ス,IKHD,351,838,12%割安,+
2726,プ,パルGHD,1947,1499,23%割安,+
2730,プ,エディオン,2361,2123,10%割安,+
2733,プ,あらた,4185,2783,33%割安,+
2734,ス,サーラコーポレーション,1463,1040,29%割安,+
2735,ス,ワッツ,1110,594,44%割安,+
2736,ス,フェスタリアHD,594,663,23%割高,-
2737,プ,トーメンデバイス,24335,15180,38%割安,+
2742,プ,ハローズ,6836,3935,42%割安,+
2747,ス,北雄ラッキー,451,3095,586%割高,-
2769,ス,JPHD,745,659,12%割安,+
276A,ス,ガーデン,2266,2255,0.5%割安,+
2750,ス,石光商事,2458,1210,51%割安,+
2751,プ,テンポスHD,3807,3705,1%割安,+
2752,プ,フジオフードG本社,149,1097,637%割高,-
2753,ス,あみやき亭,1360,1333,2%割安,+
2760,ス,東京エレクトロンデバイス,3043,3455,14%割高,-
2762,ス,SANKO MARKETING FOODS,,103,,-
2764,ス,ひらまつ,87,150,73%割高,-
2485,ス,ティア,738,494,33%割安,+
2488,ス,JTP,1686,1236,27%割安,+
2489,ス,アドウェイズ,324,271,16%割安,+
248A,グ,キッズスター,966,991,4%割高,-
2491,プ,バリューコマース,468,467,0.1%割安,+
2492,プ,インフォマート,163,431,165%割高,-
2493,ス,イーサポートリンク,827,994,20%割高,-
2497,グ,ユナイテッド,460,506,11%割高,-
2498,ス,オリエンタルコンサルタンツHD,4452,3070,31%割安,+
2499,ス,日本和装HD,420,315,25%割安,+
2501,プ,サッポロHD,454,1760,288%割高,-
2503,プ,キリンHD,2815,2479.5,12%割安,+
250A,ス,シマダヤ,2584,1705,34%割安,+
2531,プ,宝HD,1512,1770,17%割高,-
2533,プ,オエノンHD,539,418,22%割安,+
2573,ス,北海道コカ・コーラボトリング,3123,4255,36%割高,-
2579,プ,コカ・コーラボトラーズジャパンHD,2352,3417,45%割高,-
2585,プ,ライフドリンクカンパニー,1166,1408,21%割高,-
2586,グ,フルッタフルッタ,33,108,226%割高,-
2587,プ,サントリービバレッジ&フード,6221,4499,28%割安,+
2588,ス,プレミアムウォーターHD,2638,3415,34%割高,-
2590,プ,ダイドーGHD,2123,2533,19%割高,-
2593,プ,伊藤園,1912,2868.5,51%割高,-
2594,プ,キーコーヒー,431,1972,357%割高,-
2597,ス,ユニカフェ,582,1060,82%割高,-
2602,プ,日清オイリオG,2220,1807,19%割安,+
2607,プ,不二製油,3204,3331,4%割高,-
2612,ス,かどや製油,1670,1599,4%割安,+
2613,プ,J-オイルミルズ,2963,1969,34%割安,+
261A,ス,日水コン,2338,2239,4%割安,+
262A,プ,インターメスティック,2800,2111,25%割安,+
264A,グ,Schoo,182,360,108%割高,-
2652,ス,まんだらけ,622,333,44%割安,+
2653,ス,イオン九州,2247,2795,24%割高,-
2654,ス,アスモ,496,395,20%割安,+
2659,プ,サンエー,3678,3290,11%割安,+
265A,グ,Hmcomm,421,660,68%割高,-
2664,ス,カワチ薬品,4731,2981,37%割安,+
2666,ス,オートウェーブ,307,166,46%割安,+
2667,ス,イメージワン,54,250,366%割高,-
3041,ス,ビューティカダンHD,154,540,252%割高,-
3042,ス,セキュアヴェイル,174,296,70%割高,-
3045,ス,カワサキ,2761,1451,47%割安,+
3046,プ,ジンズHD,6621,6630,0.1%割高,-
3048,プ,ビックカメラ,1695,1620.5,4%割安,+
304A,グ,フォルシア,2380,1811,24%割安,+
3050,プ,DCMHD,1461,30%割安,+
3053,ス,ペッパーフードサービス,48,181,275%割高,-
3054,ス,ハイパー,300,267,9%割安,+
3058,ス,三洋堂HD,404,696,72%割高,-
3059,ス,ヒラキ,,785,,-
3063,グ,ジェイGHD,164,817,399%割高,-
3044,プ,MonotaRO,1500,1858,24%割高,-
3045,ス,ライフフーズ,570,1613,183%割高,-
3067,ス,東京一番フーズ,171,452,185%割高,-
3068,ス,WDI,1378,2971,116%割高,-
3069,ス,JFLAHD,109,169,55%割高,-
3071,ス,ストリーム,110,103,6%割安,+
3075,ス,鋏子丸,815,1615,98%割高,-
3076,プ,あいHD,4176,2688,36%割安,+
3077,ス,ホリフードサービス,235,748,218%割高,-
3079,ス,ディーブイエックス,982,1025,4%割高,-
3080,ス,ジェーソン,462,751,63%割高,-
3082,ス,きちりHD,231,964,327%割高,-
3083,ス,スターシーズ,139,1100,694%割高,-
3086,プ,J.フロントリテイリング,2294,2285.5,0.4%割安,+
3087,プ,ドトール・日レスHD,3129,2765,12%割安,+
3088,プ,マツキヨコスメ&カンパニー,2498,2286,8%割安,+
3089,ス,テクノアルファ,2336,1045,55%割安,+
3091,プ,ブロンコビリー,2215,4140,87%割高,-
3092,プ,ZOZO,957,1054,10%割高,-
3093,プ,トレジャー・ファクトリー,3034,1703,44%割安,+
3096,ス,オーシャンシステム,1995,1598,20%割安,+
3097,プ,物語コーポレーション,4086,4215,3%割高,-
3099,プ,三越伊勢丹HD,2387,2969,24%割高,-
3101,プ,東洋紡,2322,1425,39%割安,+
3103,ス,ユニチカ,,2438,,-
3104,プ,富士紡HD,3010,3905,30%割高,-
3105,プ,日清紡HD,1832,2063,13%割高,-
3106,プ,クラボウ,9651,9480,2%割安,+
2961,ス,日本調理機,6173,4975,19%割安,+
2962,ス,テクニスコ,,906,,-
296A,グ,令和アカウンティング・HD,400,739,85%割高,-
2970,ス,GLC GROUP,1124,1098,0.1%割安,+
2975,プ,スター・マイカ・HD,1204,1637,37%割高,-
2978,グ,ツクルバ,165,437,170%割高,-
2979,ス,アルビコHD,228,228,0.2%割安,+
2980,プ,SREHD,4186,3560,14%割安,+
2981,グ,ランディックス,5134,2163,58%割安,+
2982,プ,ADワークスG,566,405,28%割安,+
2983,グ,アールプランナー,1841,1440,22%割安,+
2984,ス,ヤマイチエステート,1240,694,44%割安,+
2986,グ,LAHD,31529,9020,71%割安,+
298A,グ,GVA TECH,,386,,-
2991,ス,ランドネット,2175,565,74%割安,+
2993,ス,長栄,2693,2380,9%割安,+
2997,グ,ストレージ王,634,955,51%割高,-
2998,グ,クリアル,861,677,21%割安,+
2999,ス,ホームポジション,339,570,75%割高,-
299A,グ,クラシル,1415,1047,21%割安,+
3001,ス,片倉工業,2883,2570,11%割安,+
3002,プ,グンゼ,3728,3610,3%割安,+
3003,プ,ヒューリック,1911,1766,8%割安,+
3004,ス,神栄,2607,2250,14%割安,+
300A,ス,MIC,2071,2768,34%割高,-
3011,ス,バナーズ,177,159,10%割安,+
3020,ス,アプライド,11305,3915,65%割安,+
3021,ス,パンフィックネット,1779,1886,7%割高,-
3023,ス,ラサ商事,2760,1805,35%割安,+
3024,ス,クリエイト,1928,1121,42%割安,+
3028,プ,アルペン,3257,1967,40%割安,+
302A,グ,ピースタイルHD,469,595,30%割高,-
3030,ス,ハブ,327,903,176%割高,-
3031,プ,ラクーンHD,620,638,4%割高,-
3034,プ,クオールHD,4717,1761,63%割安,+
3035,ス,ケイティケイ,1055,784,26%割安,+
3036,プ,アルコニックス,2450,2481,2%割高,-
3038,プ,神戸物産,2308,2681,18%割高,-
303A,グ,visumo,417,795,90%割高,-
3040,ス,ソリトンシステムズ,1607,1784,11%割高,-
2872,プ,セイヒョー,1004,2133,113%割高,-
2874,プ,ヨコレイ,1045,1653,58%割高,-
2875,プ,東洋水産,10467,10790,3%割高,-
2876,ス,デルソーレ,573,450,21%割安,+
2877,ス,日東ベスト,290,731,152%割高,-
287A,ス,黒田G,1029,942,8%割安,+
